,pubchem id,common name,flavor profile
113,4947,propyl gallate,"{'bitter', 'bland'}"
114,5054,resorcinol,"{'nutty', 'creamy', 'hawthorn', 'musty', 'phenolic'}"
115,5144,safrole,"{'woody', 'sassafrass', 'warm', 'spicy', 'sweet', 'floral', 'anise', 'spice'}"
116,5281,stearic acid,"{'odorless', 'fatty', 'mild'}"
117,5429,theobromine,{'bitter'}
118,5541,triacetin,"{'fruity', 'mild', 'bitter', 'tropical', 'clean'}"
119,5610,tyramine,"{'cooked', 'dirty', 'meaty', 'mild', 'phenolic', 'rubbery'}"
120,5634,10-Undecenoic Acid,"{'woody', 'sweet'}"
121,5780,D-Sorbitol,"{'odorless', 'caramel', 'sweet'}"
122,5862,L-cysteine,{'sulfury'}
123,5960,L-aspartic acid,{'odorless'}
124,5962,L-lysine,{'odorless'}
125,5971,Allyl Isothiocyanate,"{'mustard', 'strong', 'sulfur', 'pungent', 'garlic', 'bitter'}"
126,6050,Tributyrin,"{'fatty', 'creamy', 'cheese', 'waxy', 'bitter'}"
127,6054,2-Phenylethanol,"{'rose dried', 'bitter', 'rose water', 'floral', 'rose', 'lilac', 'honey', 'rose flower', 'spice'}"
128,6072,Phlorizin,{'bitter'}
129,6140,L-phenylalanine,"{'odorless', 'bitter'}"
130,6184,Hexanal,"{'fatty', 'fruity', 'green', 'fresh', 'leafy', 'grass', 'aldehydic', 'tallow', 'fat', 'sweaty'}"
131,6202,Thiamine Hydrochloride,"{'bitter', 'mild', 'sour'}"
132,6213,Dimethyl sulfone,"{'sulfur', 'burnt', 'sulfurous'}"
133,6251,D-mannitol,"{'odorless', 'sweet'}"
134,6274,L-histidine,"{'odorless', 'bitter'}"
135,6276,1-Pentanol,"{'balsam', 'sweet', 'balsamic', 'oil', 'vanilla', 'fusel'}"
136,6322,L-arginine,{'faint'}
137,6341,Ethanamine,"{'fishy', 'ammonia'}"
138,6343,Ethanethiol,"{'fruity', 'sulfurous'}"
139,6344,Dichloromethane,{''}
140,6354,Oxirane,{''}
141,6363,Isopropylamine,"{'fishy', 'ammoniacal'}"
142,6364,2-Propanethiol,"{'strong', 'gassy', 'meaty', 'onion', 'ripe', 'sulfurous'}"
143,6405,2-Methyl-2-Butanol,{'pungent'}
144,6448,Bornyl Acetate,"{'woody', 'pine needle', 'cedar', 'sweet', 'balsamic', 'fresh', 'spice', 'camphor', 'pine', 'herbal'}"
145,6493,3-Methyl-3-Pentanol,"{'leafy', 'powerful', 'fruity', 'green'}"
146,6506,Triethyl Citrate,"{'fruity', 'mild', 'bitter', 'odorless', 'wine'}"
147,6532,Linalyl isobutyrate,"{'woody', 'fruity', 'light', 'lavender', 'bergamot'}"
148,6544,Isophorone,"{'cooling', 'woody', 'fruity', 'tobacco', 'sweet', 'leather', 'camphoraceous', 'cedarwood', 'musty', 'green', 'camphor'}"
149,6548,Tetrahydrolinalool,"{'woody', 'oily', 'bois de rose', 'lily', 'floral', 'lilac', 'tea'}"
150,6549,Linalool,"{'woody', 'blueberry', 'bois de rose', 'sweet', 'flower', 'floral', 'green', 'lemon', 'lavender', 'orange', 'citrus'}"
151,6558,Isobutylamine,"{'fishy', 'cheesy'}"
152,6560,2-Methyl-1-propanol,"{'bitter', 'wine', 'solvent', 'ether'}"
153,6561,Isobutyraldehyde,"{'malt', 'floral', 'fresh', 'pungent', 'aldehydic', 'green'}"
154,6568,2-Butanol,"{'apricot', 'sweet', 'oily', 'wine'}"
155,6569,2-Butanone,"{'acetone', 'fruity', 'ethereal', 'camphor', 'ether'}"
156,6584,Methyl Acetate,"{'bitter', 'sweet', 'fruity', 'ether'}"
157,6590,Isobutyric Acid,"{'rancid', 'strawberry', 'cheese', 'butter'}"
158,6616,Camphene,"{'camphor', 'woody', 'fir needle', 'herbal'}"
159,6654,Alpha-Pinene,"{'woody', 'sweet', 'fresh', 'harsh', 'terpene', 'minty', 'turpentine', 'camphor', 'pine', 'earthy'}"
160,6660,80-71-7,"{'caramel', 'maple', 'smoky', 'maple syrup'}"
161,6736,3-Methylindole,"{'very strong', 'civet', 'indole', 'fecal', 'mothball', 'animal'}"
162,6781,Diethyl Phthalate,{'bitter'}
163,6782,Diisobutyl Phthalate,{''}
164,6826,Methyl 2-(methylamino)benzoate,"{'grape', 'neroli', 'fruity', 'sweet', 'blossom', 'powdery', 'musty', 'orange', 'wine', 'phenolic'}"
165,6874,Isoamyl salicylate,"{'woody', 'orchid', 'tobacco', 'wintergreen', 'floral', 'soapy', 'bitter', 'metallic', 'herbal'}"
166,6877,Ethyl 2-aminobenzoate,"{'grape', 'sweet', 'blossom', 'wintergreen', 'floral', 'orange blossom'}"
167,6915,2-Ethylbutyric Acid,"{'berry', 'fruity', 'sour', 'whiskey', 'acidic', 'caramel', 'dry'}"
168,6919,2-Furoic Acid,{'odorless'}
169,6920,2-Acetylthiophene,"{'sulfury', 'sulfur'}"
170,6943,2-Isopropylphenol,"{'phenolic', 'medicinal', 'creosote'}"
171,6949,Guaiene,"{'woody', 'spicy', 'sweet', 'powdery', 'guaiacwood', 'wood', 'spice', 'dry'}"
172,6985,"2',4'-Dimethylacetophenone","{'woody', 'sweet', 'floral', 'minty', 'mimosa'}"
173,6986,2-Isopropyl-5-methylcyclohexanone,"{'cool', 'sweet', 'fresh', 'minty', 'green', 'peppermint', 'mint'}"
174,6987,Piperitone,"{'fruit', 'sweet', 'fresh', 'minty', 'camphor', 'medicinal', 'mint', 'herbal'}"
175,6988,Pulegone,"{'lime', 'fresh', 'buchu', 'minty', 'camphor', 'peppermint', 'herbal'}"
176,6989,Thymol,"{'thyme', 'camphor', 'phenolic', 'medicinal', 'herbal'}"
177,6998,Salicylaldehyde,"{'cooling', 'cinnamon', 'spicy', 'medical', 'wintergreen'}"
178,7002,1-Methylnaphthalene,"{'naphthyl', 'chemical', 'camphor', 'medicinal'}"
179,7041,"2,6-Dimethoxyphenol","{'woody', 'smoke', 'balsamic', 'powdery', 'phenol', 'bacon', 'medicine', 'smoky', 'phenolic'}"
180,7043,"1,2-Dimethoxybenzene","{'creamy', 'sweet', 'vanilla', 'musty', 'phenolic'}"
181,7047,Quinoline,"{'tobacco', 'medical', 'musty', 'rubber', 'earthy'}"
182,7055,2-Methylnaphthalene,{''}
183,7059,6-Methylquinoline,"{'castoreum', 'tobacco', 'civet', 'fecal', 'leather', 'tonka'}"
184,7095,Biphenyl,"{'pungent', 'geranium', 'rose', 'green'}"
185,7127,Methyleugenol,"{'balsam', 'sweet', 'peach', 'anise', 'mesquite', 'spice', 'clove', 'banana', 'coconut', 'vanilla', 'chocolate', 'raspberry', 'oily', 'warm', 'creamy', 'fresh', 'plum', 'musty', 'carnation', 'cinnamon', 'spicy', 'apricot', 'bitter'}"
186,7136,Acetyleugenol,"{'carnation', 'woody', 'malt', 'sweet', 'floral', 'fresh', 'spice', 'clove'}"
187,7144,2-Methoxy-4-Methylphenol,"{'carnation', 'medical', 'leather', 'medicinal', 'vanilla', 'bacon', 'bitter', 'mesquite', 'smoky', 'phenolic', 'spice', 'clove'}"
188,7146,2-Phenylpropanal,"{'sharp', 'leaf', 'floral', 'hyacinth', 'fresh', 'lilac', 'green'}"
189,7147,1-Phenyl-1-propanol,"{'sweet', 'floral', 'balsam'}"
190,7148,Propiophenone,"{'hawthorn', 'lilac'}"
191,7150,Methyl Benzoate,"{'prune', 'sweet', 'almond', 'wintergreen', 'floral', 'herb', 'cananga', 'lettuce', 'phenolic'}"
192,7151,Methyl Nicotinate,"{'tobacco', 'warm', 'herbal'}"
193,7165,Ethyl Benzoate,"{'fruit', 'berry', 'strawberry', 'balsam', 'sweet', 'cranberry', 'anise', 'banana', 'raspberry', 'camomile', 'wintergreen', 'plum', 'musty', 'cherry', 'grape', 'fruity', 'flower', 'minty', 'bitter', 'celery', 'dry'}"
194,7193,Isopentyl benzoate,"{'sweet', 'waxy', 'balsamic', 'green'}"
195,7194,Phenethyl benzoate,"{'balsam', 'soft', 'floral', 'rose', 'honey'}"
196,7222,Benzothiazole,"{'cooked', 'sulfury', 'nutty', 'gasoline', 'vegetable', 'meat', 'rubber', 'rubbery', 'coffee'}"
197,7237,O-Xylene,{'geranium'}
198,7247,"1,2,4-Trimethylbenzene",{'plastic'}
199,7249,"3,4-Dimethylphenol","{'flat', 'dry'}"
200,7267,"2,5-Dimethylphenol","{'naphthyl', 'smoke', 'sweet', 'bacon', 'phenolic'}"
201,7284,2-Methylbutyraldehyde,"{'nutty', 'cocoa', 'almond', 'musty', 'coffee'}"
202,7288,3-Pentanone,"{'acetone', 'ethereal', 'ether'}"
203,7302,gamma-Butyrolactone,"{'fatty', 'oily', 'creamy', 'sweet', 'caramel'}"
204,7304,1-Methyl-1H-pyrrole,"{'woody', 'smoky', 'powerful', 'herbal'}"
205,7311,"2,4-Di-tert-butylphenol",{''}
206,7335,Carvyl Acetate,"{'spearmint', 'fruity', 'sweet', 'minty', 'green'}"
207,7341,2-Methylpentanoic acid,"{'cheese', 'sour'}"
